Pitch,MPH,EV MPH,Pitcher,Batter,Dist,Zone,Game Date,Count,Inning,Pitch Result,PA Result,
SL,75.9,,Brad Peacock,Elvis Andrus,,12,2019-04-01,2-2,Bot 7,swinging_strike,Elvis Andrus strikes out swinging.,
FT,90.1,,Brad Peacock,Elvis Andrus,,14,2019-04-01,2-2,Bot 7,foul,,
FT,91.6,,Brad Peacock,Elvis Andrus,,9,2019-04-01,2-2,Bot 7,foul,,
SL,82.2,,Brad Peacock,Elvis Andrus,,14,2019-04-01,1-2,Bot 7,ball,,
SL,81.8,,Brad Peacock,Elvis Andrus,,14,2019-04-01,0-2,Bot 7,ball,,
FT,89.3,,Brad Peacock,Elvis Andrus,,13,2019-04-01,0-1,Bot 7,swinging_strike,,
SL,82.1,,Brad Peacock,Elvis Andrus,,7,2019-04-01,0-0,Bot 7,called_strike,,
FF,90.5,100.2,Brad Peacock,Rougned Odor,8,5,2019-04-01,3-1,Bot 7,hit_into_play_no_out,Rougned Odor singles on a sharp ground ball to second baseman Jose Altuve.,
FF,90.5,,Brad Peacock,Rougned Odor,,1,2019-04-01,3-0,Bot 7,called_strike,,
SL,78.5,,Brad Peacock,Rougned Odor,,12,2019-04-01,2-0,Bot 7,ball,,
FF,89.6,,Brad Peacock,Rougned Odor,,11,2019-04-01,1-0,Bot 7,ball,,
FF,90.2,,Brad Peacock,Rougned Odor,,11,2019-04-01,0-0,Bot 7,ball,,
SI,90.4,99.9,Brad Peacock,Shin-Soo Choo,341,6,2019-04-01,1-1,Bot 6,hit_into_play,Shin-Soo Choo flies out to center fielder Jake Marisnick.,
FF,91.2,96.9,Brad Peacock,Shin-Soo Choo,14,6,2019-04-01,1-0,Bot 6,foul,,
SL,79.9,,Brad Peacock,Shin-Soo Choo,,14,2019-04-01,0-0,Bot 6,ball,,
FT,90.1,71.5,Brad Peacock,Delino DeShields,202,4,2019-04-01,1-0,Bot 6,hit_into_play,Delino DeShields flies out to right fielder George Springer.,
