"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-09-14","79.9","0.8360","6.1522","Dallas Keuchel",425772,572971,"strikeout","swinging_strike",,,,,"14","Jeff Mathis strikes out swinging.  ","R","R","L","HOU","ARI","S",2,"null",2,2,2018,"1.1391","0.5535","0.7237","1.0520","null","null","605113.00",2,6,"Top","null","null",,,455117,,"180915_015828","-2.3531","-116.1697","-5.4790","10.6288","22.4270","-26.4105","3.3710","1.5350","null","null","null","79.3610","1393","6.0330",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4695","null","null","0.00",1,0,0,"null",46,"5","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.3","0.9033","6.1588","Dallas Keuchel",425772,572971,"null","foul",,,,,"14","null","R","R","L","HOU","ARI","S","null","null",2,1,2018,"0.8752","0.4080","0.8980","1.6358","null","null","605113.00",2,6,"Top","null","null",,,455117,,"180915_015748","-1.8080","-129.8819","-5.9015","10.1184","27.6758","-26.6220","3.3710","1.5350","3","52.6","-29.2335","88.5500","2058","5.8900",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.6119","null","null","null","null","null","null","null",46,"4","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2018-09-14","89.0","0.6850","6.3507","Dallas Keuchel",425772,572971,"null","ball",,,,,"11","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"-0.1466","1.2395","-0.4231","3.7446","null","null","605113.00",2,6,"Top","null","null",,,455117,,"180915_015726","-2.4070","-129.5361","-2.8789","-1.0732","29.7612","-18.0087","3.3988","1.6069","null","null","null","88.4330","2248","6.1540",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3488","null","null","null","null","null","null","null",46,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.3","1.0291","6.1663","Dallas Keuchel",425772,572971,"null","foul",,,,,"9","null","R","R","L","HOU","ARI","S","null","null",1,0,2018,"1.1222","0.6106","0.8220","2.0776","null","null","605113.00",2,6,"Top","null","null",,,455117,,"180915_015700","-2.8210","-129.9853","-5.3034","13.1527","26.7278","-24.4711","3.3710","1.5350","212","73.5","43.5499","88.8960","2037","5.9810",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5210","null","null","null","null","null","null","null",46,"2","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.3","0.8962","6.1979","Dallas Keuchel",425772,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,0,2018,"1.1541","0.5888","1.1446","1.4773","null","null","605113.00",2,6,"Top","null","null",,,455117,,"180915_015633","-1.7612","-129.8548","-6.7648","13.2231","27.0990","-24.4407","3.3988","1.6069","null","null","null","88.6260","2007","5.9030",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5992","null","null","null","null","null","null","null",46,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2018-09-14","80.2","0.8579","6.1609","Dallas Keuchel",606466,572971,"strikeout","swinging_strike_blocked",,,,,"13","Ketel Marte strikes out swinging.  ","R","R","L","HOU","ARI","S",2,"null",2,2,2018,"-1.0380","-0.3642","-0.7509","0.7571","null","null","605113.00",1,6,"Top","null","null",,,455117,,"180915_015554","-1.6145","-116.6237","-4.5054","-8.9798","22.7431","-34.8036","3.4110","1.5650","null","null","null","79.4490","2248","5.8910",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.6109","null","null","0.00",1,0,0,"null",45,"5","Slider",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","88.9","0.8286","6.1834","Dallas Keuchel",606466,572971,"null","foul",,,,,"7","null","R","R","L","HOU","ARI","S","null","null",2,1,2018,"0.8928","0.7190","-0.3880","1.6681","null","null","605113.00",1,6,"Top","null","null",,,455117,,"180915_015524","-4.7954","-129.2521","-6.4360","10.8905","27.9786","-23.0889","3.4110","1.5650","null","null","null","88.2070","2028","5.9930",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5091","null","null","null","null","null","null","null",45,"4","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.4","1.0917","6.1178","Dallas Keuchel",606466,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"1.1390","0.4153","1.2619","1.5120","null","null","605113.00",1,6,"Top","null","null",,,455117,,"180915_015446","-1.9360","-130.0003","-6.1528","13.1542","27.6069","-26.4566","3.3988","1.6069","null","null","null","88.8220","2023","6.0010",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5015","null","null","null","null","null","null","null",45,"3","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2018-09-14","78.4","0.8272","6.1290","Dallas Keuchel",606466,572971,"null","blocked_ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"1.1548","0.7167","1.3875","0.7178","null","null","605113.00",1,6,"Top","null","null",,,455117,,"180915_015426","-0.9246","-114.1162","-6.1848","10.2665","20.8242","-24.9908","3.3988","1.6069","null","null","null","78.5550","1514","6.3670",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1355","null","null","null","null","null","null","null",45,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2018-09-14","79.7","0.8133","6.1903","Dallas Keuchel",606466,572971,"null","swinging_strike",,,,,"8","null","R","R","L","HOU","ARI","S","null","null",0,0,2018,"1.1372","0.6777","0.1101","2.1349","null","null","605113.00",1,6,"Top","null","null",,,455117,,"180915_015400","-3.6740","-116.0363","-3.4464","10.9295","21.6672","-25.6449","3.4110","1.5650","null","null","null","79.7200","1372","6.2720",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.2300","null","null","null","null","null","null","null",45,"1","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2018-09-14","88.6","0.9942","6.2023","Dallas Keuchel",605113,572971,"walk","ball",,,,,"13","Nick Ahmed walks.  ","R","R","L","HOU","ARI","B","null","null",3,2,2018,"0.1126","0.6883","-1.6667","1.7228","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015322","-6.6910","-128.7485","-6.2657","2.5831","25.8020","-23.5464","3.3988","1.6069","null","null","null","88.2250","2140","6.0560",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4461","null","null","0.70",1,0,0,"null",44,"6","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","88.8","1.1518","6.1348","Dallas Keuchel",605113,572971,"null","foul",,,,,"8","null","R","R","L","HOU","ARI","S","null","null",3,1,2018,"0.7728","0.7151","0.1421","1.7400","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015255","-4.0679","-129.1741","-6.1888","9.4430","26.3288","-23.1601","3.4670","1.5890","3","72.9","-27.7224","88.6790","2041","6.1870",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3151","null","null","null","null","null","null","null",44,"5","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Strategic"
"CH","2018-09-14","80.8","1.0169","6.0783","Dallas Keuchel",605113,572971,"null","ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",2,1,2018,"0.9668","0.4365","-0.1944","0.9381","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015230","-4.5431","-117.4648","-5.6019","9.8205","22.9262","-27.2668","3.3988","1.6069","null","null","null","80.7440","1435","6.3750",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1270","null","null","null","null","null","null","null",44,"4","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2018-09-14","87.8","1.0037","6.2052","Dallas Keuchel",605113,572971,"null","ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"0.0120","0.5130","-1.2442","1.7438","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015212","-5.4324","-127.5803","-5.6450","1.3131","27.8054","-25.6680","3.3988","1.6069","null","null","null","87.0890","2113","6.0550",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4474","null","null","null","null","null","null","null",44,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.8","1.4316","6.0087","Dallas Keuchel",605113,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"0.7659","0.2633","1.2842","1.7379","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015149","-1.9491","-130.6280","-5.1123","9.0654","27.1569","-28.3648","3.3988","1.6069","null","null","null","89.2990","1906","5.9720",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5301","null","null","null","null","null","null","null",44,"2","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","87.6","1.0566","6.2449","Dallas Keuchel",605113,572971,"null","foul",,,,,"4","null","R","R","L","HOU","ARI","S","null","null",0,0,2018,"0.1083","0.5225","-0.6894","2.2521","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015116","-4.4346","-127.4862","-4.5713","2.1006","26.6283","-25.7755","3.4670","1.5890","null","null","null","87.4750","2076","6.2430",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.2595","null","null","null","null","null","null","null",44,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
