"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-09-15","85.1","3.1794","5.6612","Andrew Heaney",443558,571760,"strikeout","swinging_strike",,,,,"14","Nelson Cruz strikes out swinging.  ","R","R","L","LAA","SEA","S",2,"null",3,2,2018,"1.3294","0.6151","1.0712","1.8634","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_023043","-7.4483","-123.5708","-3.7610","14.7806","23.3854","-25.5104","3.4670","1.5890","null","null","null","84.2210","2013","5.7190",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.7809","null","null","0.00",1,0,0,"null",39,"7","Changeup",4,2,2,4,2,4,2,4,"Standard","Standard"
"CH","2018-09-15","85.5","3.1382","5.6399","Andrew Heaney",443558,571760,"null","ball",,,,,"14","null","R","R","L","LAA","SEA","B","null","null",2,2,2018,"1.3169","0.6919","0.0765","1.2601","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022921","-9.6957","-123.9806","-5.3118","15.2556","24.3364","-24.3532","3.7484","1.7261","null","null","null","84.5560","1999","5.8270",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.6727","null","null","null","null","null","null","null",39,"6","Changeup",4,2,2,4,2,4,2,4,"Standard","Standard"
"SI","2018-09-15","93.9","3.2198","5.5181","Andrew Heaney",443558,571760,"null","foul",,,,,"12","null","R","R","L","LAA","SEA","S","null","null",2,2,2018,"0.8449","1.0202","0.4962","3.6649","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022854","-8.7419","-136.2927","-1.2272","12.2129","30.3227","-19.7560","3.4670","1.5890","null","null","null","92.5480","2507","5.6520",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.8476","null","null","null","null","null","null","null",39,"5","Sinker",4,2,2,4,2,4,2,4,"Standard","Standard"
"SI","2018-09-15","93.7","3.2296","5.5407","Andrew Heaney",443558,571760,"null","ball",,,,,"2","null","R","R","L","LAA","SEA","B","null","null",1,2,2018,"0.9560","0.9560","-0.2145","3.5370","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022808","-10.7994","-135.9812","-1.4678","13.9196","29.0792","-20.4927","3.6971","1.8036","null","null","null","92.5340","2454","5.6880",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.8114","null","null","null","null","null","null","null",39,"4","Sinker",4,2,2,4,2,4,2,4,"Standard","Standard"
"SI","2018-09-15","92.9","3.3576","5.4508","Andrew Heaney",443558,571760,"null","ball",,,,,"12","null","R","R","L","LAA","SEA","B","null","null",0,2,2018,"1.0795","0.8382","1.1103","3.6432","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022743","-7.9643","-134.9639","-0.6039","14.6615","30.1228","-22.2887","3.6715","1.7519","null","null","null","91.7150","2445","5.7250",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.7751","null","null","null","null","null","null","null",39,"3","Sinker",4,2,2,4,2,4,2,4,"Standard","Standard"
"SI","2018-09-15","93.0","3.2800","5.4805","Andrew Heaney",443558,571760,"null","swinging_strike",,,,,"12","null","R","R","L","LAA","SEA","S","null","null",0,1,2018,"1.1111","1.1381","0.9135","3.0017","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022716","-8.3779","-135.1561","-2.9885","15.2124","29.4091","-18.0486","3.4670","1.5890","null","null","null","92.1780","2383","5.8650",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.6350","null","null","null","null","null","null","null",39,"2","Sinker",4,2,2,4,2,4,2,4,"Standard","Standard"
"SI","2018-09-15","92.9","3.2429","5.4403","Andrew Heaney",443558,571760,"null","swinging_strike",,,,,"3","null","R","R","L","LAA","SEA","S","null","null",0,0,2018,"1.1072","0.9701","0.6634","3.1122","null","null","516416.00",2,5,"Top","null","null",,,516472,,"180916_022646","-8.8831","-134.8764","-2.2024","15.2217","30.0065","-20.3261","3.4670","1.5890","null","null","null","91.8310","2505","5.8250",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"54.6745","null","null","null","null","null","null","null",39,"1","Sinker",4,2,2,4,2,4,2,4,"Standard","Standard"
"CU","2018-09-15","78.3","3.1722","5.6639","Andrew Heaney",429664,571760,"field_out","hit_into_play",,,,,"5","Robinson Cano pops out to third baseman Kaleb Cowart.  ","R","L","L","LAA","SEA","X",5,"popup",0,1,2018,"-0.6397","-0.1698","-0.1370","2.6442","null","null","516416.00",1,5,"Top","116.90","190.07",,,516472,,"180916_022602","-5.8809","-113.7100","0.6541","-4.2354","21.2253","-33.9890","3.3710","1.5350","null","80.0","69.0000","76.6250","2243","5.2360",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"55.2641","0.000","0.000","0.00",1,0,0,3,38,"2","Curveball",4,2,2,4,2,4,2,4,"Standard","Standard"
"CU","2018-09-15","78.6","3.2894","5.7301","Andrew Heaney",429664,571760,"null","foul",,,,,"7","null","R","L","L","LAA","SEA","S","null","null",0,0,2018,"-0.3348","-0.2951","-0.3271","1.4891","null","null","516416.00",1,5,"Top","null","null",,,516472,,"180916_022533","-7.0764","-114.0371","-1.7650","-1.5109","20.9381","-34.5990","3.3710","1.5350","null","null","null","76.8880","2415","5.2220",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"55.2774","null","null","null","null","null","null","null",38,"1","Curveball",4,2,2,4,2,4,2,4,"Standard","Standard"
"CU","2018-09-15","76.7","3.4547","5.8317","Andrew Heaney",516416,571760,"single","hit_into_play_no_out",,,,,"9","Jean Segura singles on a line drive to center fielder Mike Trout.  ","R","R","L","LAA","SEA","X","null","line_drive",1,1,2018,"-0.3808","-0.4067","0.6932","2.0248","null","null","null",1,5,"Top","152.46","62.66",,,516472,,"180916_022430","-5.0671","-111.4193","-0.3546","-2.1864","19.1663","-35.6415","3.3010","1.5040","275","99.7","12.4900","75.2260","2462","5.2080",531630,571760,516472,628336,664058,592230,592743,457708,545361,594777,"55.2922","0.897","0.893","0.90",1,1,0,4,37,"3","Curveball",4,2,2,4,2,4,2,4,"Standard","Standard"
