"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-12","97.7","-1.8683","5.4930","Josh James",608475,657624,"field_out","hit_into_play",,,,,"5","Dawel Lugo lines out to right fielder George Springer.  ","R","R","R","DET","HOU","X",9,"line_drive",1,1,2018,"-1.1767","0.9471","-0.0900","2.2437","null","null","451192.00",2,8,"Bot","200.75","119.50",,,455117,,"180912_200042","7.3879","-142.0928","-5.4003","-17.3263","29.2329","-18.5542","3.3710","1.5350","258","89.1","18.5400","97.3600","2284","5.8970",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6016","0.429","0.462","0.00",1,0,0,4,70,"3","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","97.2","-1.7413","5.6661","Josh James",608475,657624,"null","called_strike",,,,,"9","null","R","R","R","DET","HOU","S","null","null",1,0,2018,"-1.0345","1.0929","0.3146","1.8553","null","null","451192.00",2,8,"Bot","null","null",,,455117,,"180912_200015","7.7783","-141.1132","-7.0849","-15.3869","31.1148","-16.3951","3.3628","1.5912","null","null","null","96.5500","2253","5.9760",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.5229","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","98.3","-1.6607","5.7947","Josh James",608475,657624,"null","ball",,,,,"11","null","R","R","R","DET","HOU","B","null","null",0,0,2018,"-0.9719","0.9658","-0.1290","3.8105","null","null","451192.00",2,8,"Bot","null","null",,,455117,,"180912_195947","6.3657","-143.0464","-2.1366","-14.7045","32.3439","-18.7293","3.4086","1.6643","null","null","null","98.1290","2322","6.1460",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3528","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"CH","2018-09-12","88.7","-1.8990","5.3148","Josh James",543510,657624,"strikeout","swinging_strike",,,,,"9","James McCann strikes out swinging.  ","R","R","R","DET","HOU","S",2,"null",1,2,2018,"-1.4532","-0.0761","0.6498","1.5723","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195908","9.1615","-128.8335","-2.8991","-17.8862","26.6468","-32.6428","3.4900","1.6010","null","null","null","88.0970","1767","6.0030",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.4954","null","null","0.00",1,0,0,"null",69,"6","Changeup",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","99.5","-1.3917","5.9094","Josh James",543510,657624,"null","foul",,,,,"6","null","R","R","R","DET","HOU","S","null","null",1,2,2018,"-0.9219","1.2122","0.2823","2.5395","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195746","6.6026","-144.6198","-6.5391","-14.1249","31.9659","-14.3124","3.4900","1.6010","191","79.2","20.7258","98.4260","2305","5.6340",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.8653","null","null","null","null","null","null","null",69,"5","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-09-12","85.4","-1.9231","5.5336","Josh James",543510,657624,"null","ball",,,,,"11","null","R","R","R","DET","HOU","B","null","null",0,2,2018,"1.1911","0.2904","-0.7074","3.8716","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195657","0.5389","-124.1974","1.7800","11.8300","24.8730","-29.8817","3.2370","1.4694","null","null","null","84.0370","2467","5.4250",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"55.0737","null","null","null","null","null","null","null",69,"4","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","99.7","-1.3802","6.0889","Josh James",543510,657624,"null","foul",,,,,"2","null","R","R","R","DET","HOU","S","null","null",0,2,2018,"-0.6494","1.2435","-0.1369","3.2942","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195620","4.8527","-144.7935","-5.0179","-10.1348","37.6088","-14.1492","3.4900","1.6010","217","77.5","34.8068","98.1130","2406","5.7610",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.7375","null","null","null","null","null","null","null",69,"3","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","99.8","-1.5836","5.9444","Josh James",543510,657624,"null","foul",,,,,"13","null","R","R","R","DET","HOU","S","null","null",0,1,2018,"-1.0083","1.0232","-0.4405","1.4620","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195538","5.4001","-144.9371","-9.2050","-15.1815","32.0892","-16.1744","3.4900","1.6010","null","null","null","98.9090","2450","5.7830",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.7159","null","null","null","null","null","null","null",69,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-09-12","86.3","-1.9951","5.5780","Josh James",543510,657624,"null","called_strike",,,,,"2","null","R","R","R","DET","HOU","S","null","null",0,0,2018,"1.0635","-0.0458","-0.1886","2.8484","null","null","451192.00",1,8,"Bot","null","null",,,455117,,"180912_195509","2.1821","-125.6477","-0.2502","10.5462","23.0703","-32.8415","3.3595","1.5181","null","null","null","85.1900","2561","5.3290",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"55.1696","null","null","null","null","null","null","null",69,"1","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
"CH","2018-09-12","89.2","-2.0865","5.3714","Josh James",451192,657624,"single","hit_into_play_no_out",,,,,"13","Jim Adduci singles on a ground ball to center fielder Jake Marisnick.  ","R","L","R","DET","HOU","X","null","ground_ball",0,1,2018,"-1.4181","0.1660","-0.4458","1.1435","null","null","null",1,8,"Bot","148.93","102.44",,,455117,,"180912_195415","6.9503","-129.6397","-4.7259","-17.2835","25.0627","-29.6051","3.4670","1.5890","30","88.3","0.1560","89.0660","1908","6.1060",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3933","0.318","0.327","0.90",1,1,0,2,68,"2","Changeup",4,5,4,5,5,4,4,5,"Standard","Strategic"
"FF","2018-09-12","98.0","-1.6432","5.9900","Josh James",451192,657624,"null","called_strike",,,,,"7","null","R","L","R","DET","HOU","S","null","null",0,0,2018,"-1.1571","1.3226","-0.5119","2.0001","null","null","null",1,8,"Bot","null","null",,,455117,,"180912_195356","5.6411","-142.3105","-8.2329","-16.8013","31.6882","-12.7994","3.2860","1.5809","null","null","null","97.3460","2455","5.9650",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.5333","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Strategic"
"FF","2018-09-12","97.0","-1.8344","5.7119","Josh James",543484,657624,"field_out","hit_into_play",,,,,"8","Astros challenged (play at 1st), call on the field was overturned: Mikie Mahtook grounds out, third baseman Alex Bregman to first baseman Tyler White.  ","R","R","R","DET","HOU","X",5,"ground_ball",0,0,2018,"-1.0465","0.9294","-0.0588","2.0658","null","null","null",0,8,"Bot","106.77","172.54",,,455117,,"180912_195220","7.0232","-141.0222","-6.2616","-15.2720","29.9452","-18.8305","3.4110","1.5650","null","82.9","-20.6990","96.3810","2196","5.8360",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6627","0.072","0.066","0.00",1,0,0,2,67,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","100.0","-1.6643","5.8435","Josh James",500135,657624,"strikeout","swinging_strike",,,,,"2","Ronny Rodriguez strikes out swinging.  ","R","R","R","DET","HOU","S",2,"null",2,2,2018,"-1.0522","1.2585","0.1133","3.0740","null","null","null",2,7,"Bot","null","null",,,455117,,"180912_193931","7.2584","-145.2687","-5.1088","-16.3334","33.7853","-13.7083","3.3710","1.5350","null","null","null","99.0680","2356","5.8470",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6515","null","null","0.00",1,0,0,"null",63,"5","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","100.7","-1.2999","6.0997","Josh James",500135,657624,"null","ball",,,,,"14","null","R","R","R","DET","HOU","B","null","null",1,2,2018,"-1.0624","1.4487","1.3012","2.3321","null","null","null",2,7,"Bot","null","null",,,455117,,"180912_193901","9.6016","-145.9293","-8.3318","-17.3313","37.5984","-10.0247","3.3105","1.5269","null","null","null","99.2730","2348","5.9420",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.5571","null","null","null","null","null","null","null",63,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","99.3","-1.4706","5.9528","Josh James",500135,657624,"null","swinging_strike",,,,,"2","null","R","R","R","DET","HOU","S","null","null",1,1,2018,"-1.1849","1.4815","0.0736","3.1941","null","null","null",2,7,"Bot","null","null",,,455117,,"180912_193837","6.8650","-144.1243","-5.4043","-17.8343","36.6417","-10.9486","3.3710","1.5350","null","null","null","97.8080","2444","5.8040",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6948","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"CH","2018-09-12","91.2","-1.8722","5.4103","Josh James",500135,657624,"null","ball",,,,,"14","null","R","R","R","DET","HOU","B","null","null",0,1,2018,"-1.7641","0.4838","1.9300","1.2520","null","null","null",2,7,"Bot","null","null",,,455117,,"180912_193814","13.1455","-132.0904","-5.5038","-23.1023","26.6794","-25.6768","3.2860","1.5269","null","null","null","90.4260","2077","5.9600",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.5386","null","null","null","null","null","null","null",63,"2","Changeup",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-12","98.5","-1.6572","5.7639","Josh James",500135,657624,"null","called_strike",,,,,"2","null","R","R","R","DET","HOU","S","null","null",0,0,2018,"-0.9353","1.0540","-0.1751","3.3474","null","null","null",2,7,"Bot","null","null",,,455117,,"180912_193755","6.1803","-143.3581","-3.5748","-14.2467","31.0290","-17.0589","3.2615","1.5269","null","null","null","98.7010","2377","6.2490",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.2501","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-09-12","86.4","-1.9548","5.6161","Josh James",592206,657624,"home_run","hit_into_play_score",,,,,"2","Nicholas Castellanos homers (21) on a fly ball to left field.   Victor Reyes scores.  ","R","R","R","DET","HOU","X","null","fly_ball",0,1,2018,"0.5417","0.0317","-0.1518","2.9584","null","null","622682.00",2,7,"Bot","36.43","50.36",,,455117,,"180912_193709","3.1771","-125.7588","-0.2151","4.9539","24.2707","-32.0609","3.5490","1.6270","408","104.6","34.7620","85.1100","2327","5.3280",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"55.1710","0.743","1.519","2.00",1,0,3,6,62,"2","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"SL","2018-09-12","87.8","-2.0345","5.5242","Josh James",592206,657624,"null","swinging_strike",,,,,"14","null","R","R","R","DET","HOU","S","null","null",0,0,2018,"0.2828","0.1083","0.9729","1.8588","null","null","622682.00",2,7,"Bot","null","null",,,455117,,"180912_193634","6.5924","-127.4334","-2.7952","1.3722","30.5764","-30.6745","3.5490","1.6270","null","null","null","85.7300","2425","5.4830",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"55.0158","null","null","null","null","null","null","null",62,"1","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"CH","2018-09-12","88.8","-2.1500","5.3121","Josh James",621514,657624,"field_out","hit_into_play",,,,,"1","Christin Stewart pops out to third baseman Alex Bregman in foul territory.  ","R","L","R","DET","HOU","X",5,"popup",0,1,2018,"-1.3235","0.2448","-0.5953","3.1660","null","null","622682.00",1,7,"Bot","81.88","170.00",,,455117,,"180912_193550","6.5298","-129.0520","0.3122","-16.0500","27.3671","-29.7568","3.3710","1.5350","171","82.4","63.1520","88.4060","1758","6.1560",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.3423","0.011","0.012","0.00",1,0,0,3,61,"2","Changeup",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-09-12","97.5","-1.6713","5.7799","Josh James",621514,657624,"null","foul",,,,,"6","null","R","L","R","DET","HOU","S","null","null",0,0,2018,"-1.0848","1.3763","0.4641","2.1636","null","null","622682.00",1,7,"Bot","null","null",,,455117,,"180912_193515","8.0685","-141.5488","-7.1861","-16.1112","32.2201","-12.6739","3.3710","1.5350","null","null","null","96.3140","2264","5.7320",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.7669","null","null","null","null","null","null","null",61,"1","4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-09-12","96.7","-1.9410","5.5931","Josh James",600869,657624,"field_out","hit_into_play",,,,,"6","Jeimer Candelario flies out to right fielder George Springer.  ","R","L","R","DET","HOU","X",9,"fly_ball",0,1,2018,"-0.9195","0.9834","0.5419","2.6633","null","null","622682.00",0,7,"Bot","167.94","108.84",,,455117,,"180912_193424","8.6365","-140.5696","-4.4520","-13.9732","30.6583","-18.4949","3.4110","1.5650","237","93.8","54.4400","96.3110","2225","6.0370",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.4616","0.006","0.007","0.00",1,0,0,3,60,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"CH","2018-09-12","87.7","-2.0426","5.3473","Josh James",600869,657624,"null","called_strike",,,,,"7","null","R","L","R","DET","HOU","S","null","null",0,0,2018,"-1.1748","0.1873","-0.7353","2.2425","null","null","622682.00",0,7,"Bot","null","null",,,455117,,"180912_193354","5.4523","-127.6393","-1.8020","-13.6279","23.6882","-30.0552","3.5312","1.6643","null","null","null","87.0340","1674","5.6370",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.8617","null","null","null","null","null","null","null",60,"1","Changeup",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-09-12","95.4","-2.0709","5.4544","Josh James",622682,657624,"walk","ball",,,,,"13","Victor Reyes walks.  ","R","L","R","DET","HOU","B","null","null",3,1,2018,"-1.2897","0.8755","-0.3898","1.1464","null","null","null",0,7,"Bot","null","null",,,455117,,"180912_193314","7.1961","-138.5432","-7.5498","-17.9344","30.2163","-19.6520","3.6539","1.7618","null","null","null","94.5960","2147","5.8780",531586,657624,455117,643603,493329,608324,621043,503556,545350,543807,"54.6211","null","null","0.70",1,0,0,"null",59,"5","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
