"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-15","91.9","-2.4564","5.1776","Matt Festa",592743,670036,"field_out","hit_into_play",,,,,"6","Andrelton Simmons lines out sharply, pitcher Matt Festa to second baseman Robinson Cano to first baseman Ryon Healy.  ","R","R","R","LAA","SEA","X",1,"line_drive",2,0,2018,"-0.6459","1.1800","0.4346","2.6620","null","null","660271.00",2,6,"Bot","128.41","180.38",,,572287,,"180916_030420","8.8244","-133.7604","-3.2017","-9.6412","26.0292","-17.2489","3.3010","1.5040","171","103.9","5.1220","93.1000","2379","6.7700",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"53.7301","0.625","0.602","0.00",1,0,0,4,52,"3","4-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"SL","2018-09-15","86.7","-2.3510","5.2944","Matt Festa",592743,670036,"null","blocked_ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",1,0,2018,"0.6491","0.5086","1.9800","0.6915","null","null","660271.00",2,6,"Bot","null","null",,,572287,,"180916_030347","8.9896","-125.9256","-5.8199","5.1778","23.8479","-25.8932","3.2608","1.5451","null","null","null","86.4880","null","6.1070",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.3928","null","null","null","null","null","null","null",52,"2","Slider",4,3,4,3,3,4,4,3,"Standard","Standard"
"SL","2018-09-15","86.6","-2.4917","5.2655","Matt Festa",592743,670036,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",0,0,2018,"0.6113","0.3618","0.8889","1.1109","null","null","660271.00",2,6,"Bot","null","null",,,572287,,"180916_030324","6.8083","-126.0094","-4.4591","5.1649","24.2365","-27.7012","3.3379","1.6227","null","null","null","86.4510","2352","6.0770",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.4223","null","null","null","null","null","null","null",52,"1","Slider",4,3,4,3,3,4,4,3,"Standard","Standard"
"FF","2018-09-15","91.2","-2.5177","5.1808","Matt Festa",457708,670036,"field_out","hit_into_play",,,,,"5","Justin Upton flies out sharply to right fielder Mitch Haniger.  ","R","R","R","LAA","SEA","X",9,"fly_ball",1,0,2018,"-0.3719","1.2766","-0.1633","2.6718","null","null","660271.00",1,6,"Bot","190.18","72.57",,,572287,,"180916_030225","6.7173","-132.6493","-3.1416","-5.8420","28.8961","-16.6801","3.4670","1.5890","366","102.1","35.9290","91.1400","2286","6.3200",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.1799","0.525","1.028","0.00",1,0,0,6,51,"2","4-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"SL","2018-09-15","85.9","-2.5732","5.3129","Matt Festa",457708,670036,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",0,0,2018,"0.6427","0.3284","0.8729","1.5379","null","null","660271.00",1,6,"Bot","null","null",,,572287,,"180916_030152","6.8230","-124.8618","-3.3324","5.3433","23.7485","-28.3718","3.5433","1.7002","null","null","null","85.3770","2352","5.8870",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.6124","null","null","null","null","null","null","null",51,"1","Slider",4,3,4,3,3,4,4,3,"Standard","Standard"
"SL","2018-09-15","86.0","-2.4663","5.3812","Matt Festa",660271,670036,"single","hit_into_play",,,,,"8","Mariners challenged (tag play), call on the field was overturned: Shohei Ohtani singles on a sharp ground ball to right fielder Mitch Haniger.  Mike Trout out at home on the throw, right fielder Mitch Haniger to catcher Mike Zunino.  ","R","L","R","LAA","SEA","X",9,"ground_ball",1,0,2018,"0.4960","0.3010","0.1837","1.9669","null","545361.00","null",0,6,"Bot","178.68","104.67",,,572287,,"180916_025829","5.2482","-125.1037","-2.4529","4.1234","23.9475","-28.8233","3.5490","1.6270","121","109.5","6.9270","85.3950","null","5.8010",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.6988","0.713","0.671","0.90",1,1,0,4,50,"2","Slider",4,3,4,3,3,4,4,3,"Standard","Standard"
"FF","2018-09-15","91.1","-2.6498","5.2832","Matt Festa",660271,670036,"null","ball",,,,,"11","null","R","L","R","LAA","SEA","B","null","null",0,0,2018,"-0.2444","0.7953","-1.4484","4.5607","null","545361.00","null",0,6,"Bot","null","null",,,572287,,"180916_025802","3.5216","-132.5507","2.3842","-3.6084","28.4324","-23.6321","3.3893","1.5968","null","null","null","90.7310","2131","6.0790",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.4208","null","null","null","null","null","null","null",50,"1","4-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"SL","2018-09-15","85.8","-2.3951","5.3214","Matt Festa",545361,670036,"double","hit_into_play_no_out",,,,,"8","Mike Trout hits a ground-rule double (24) on a line drive down the right-field line.  ","R","R","R","LAA","SEA","X","null","line_drive",2,1,2018,"0.6048","0.1997","0.0621","2.0111","null","null","null",0,6,"Bot","221.68","102.85",,,572287,,"180916_025720","4.5774","-124.9450","-2.0027","5.3918","23.4693","-29.9584","3.4670","1.5890","306","95.7","20.8050","85.3920","2308","5.8330",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.6668","0.356","0.471","1.25",1,1,1,3,49,"4","Slider",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"SL","2018-09-15","85.1","-2.3551","5.3407","Matt Festa",545361,670036,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",1,1,2018,"0.4698","0.0793","0.9597","1.2671","null","null","null",0,6,"Bot","null","null",,,572287,,"180916_025658","6.7801","-123.6815","-3.3607","3.3968","24.3405","-30.9543","3.3636","1.6485","null","null","null","84.2680","2254","5.7830",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.7171","null","null","null","null","null","null","null",49,"3","Slider",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"SL","2018-09-15","85.6","-2.4951","5.4181","Matt Festa",545361,670036,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",0,1,2018,"0.4999","0.2030","0.9060","1.6289","null","null","null",0,6,"Bot","null","null",,,572287,,"180916_025643","6.9702","-124.4932","-3.0455","3.7318","24.5809","-29.7364","3.5176","1.7519","null","null","null","84.8800","2271","5.8140",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.6856","null","null","null","null","null","null","null",49,"2","Slider",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"SL","2018-09-15","79.4","-2.2680","5.6402","Matt Festa",545361,670036,"null","called_strike",,,,,"9","null","R","R","R","LAA","SEA","S","null","null",0,0,2018,"0.6123","-0.6584","0.4553","2.1580","null","null","null",0,6,"Bot","null","null",,,572287,,"180916_025628","4.7777","-115.4525","0.3239","4.4513","21.1899","-38.2153","3.4663","1.6227","null","null","null","78.3130","2413","5.5330",531630,670036,572287,592387,429664,502117,516416,452655,457727,571745,"54.9665","null","null","null","null","null","null","null",49,"1","Slider",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"FF","2018-09-15","92.0","-2.5198","5.1330","Matt Festa",664058,670036,"field_out","hit_into_play",,,,,"8","David Fletcher grounds out, shortstop Jean Segura to first baseman Ryon Healy.  ","R","R","R","LAA","SEA","X",6,"ground_ball",3,2,2018,"-0.4963","0.8499","0.2009","2.0113","null","null","null",2,5,"Bot","104.79","148.88",,,572287,,"180916_023836","7.9964","-133.8073","-3.9849","-7.5681","25.7650","-21.2716","3.3010","1.5040","4","95.6","-26.8270","92.6150","2205","6.4440",531630,670036,572287,592387,429664,502117,516416,457727,628338,571745,"54.0562","0.113","0.105","0.00",1,0,0,2,42,"7","4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Strategic"
