"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-09-13","87.2","-2.5240","5.2463","Mike Leake",628336,502190,"field_out","hit_into_play",,,,,"6","Jose Fernandez grounds out to first baseman Ryon Healy.  ","R","L","R","LAA","SEA","X",3,"ground_ball",0,2,2018,"0.1372","0.7310","0.4847","2.2949","null","null","null",2,7,"Bot","155.66","162.21",,,572287,,"180914_043422","6.8142","-126.7052","-2.3445","0.0993","24.6674","-24.3787","3.4412","1.7008","86","87.9","5.6150","85.5870","2365","5.2250",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.2752","0.513","0.465","0.00",1,0,0,4,60,"3","Cutter",1,6,1,6,6,1,1,6,"Standard","Standard"
"CH","2018-09-13","84.4","-2.6321","5.1271","Mike Leake",628336,502190,"null","foul",,,,,"13","null","R","L","R","LAA","SEA","S","null","null",0,1,2018,"-0.7887","-0.4563","-0.5312","1.3096","null","null","null",2,7,"Bot","null","null",,,572287,,"180914_043402","6.2916","-122.6728","-1.6572","-8.9065","22.3567","-36.6022","3.3898","1.6233","null","null","null","83.2880","1694","5.4410",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.0591","null","null","null","null","null","null","null",60,"2","Changeup",1,6,1,6,6,1,1,6,"Standard","Standard"
"KC","2018-09-13","79.7","-2.4129","5.4548","Mike Leake",628336,502190,"null","called_strike",,,,,"5","null","R","L","R","LAA","SEA","S","null","null",0,0,2018,"1.3664","-0.6495","0.0135","2.8234","null","null","null",2,7,"Bot","null","null",,,572287,,"180914_043350","2.8195","-115.7128","2.1155","11.0167","23.4066","-38.4261","3.3898","1.6491","null","null","null","77.2340","2676","4.8440",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.6559","null","null","null","null","null","null","null",60,"1","Knuckle Curve",1,6,1,6,6,1,1,6,"Standard","Standard"
"FC","2018-09-13","87.2","-2.6311","5.2053","Mike Leake",592743,502190,"field_out","hit_into_play",,,,,"2","Andrelton Simmons lines out to left fielder Denard Span.  ","R","R","R","LAA","SEA","X",7,"line_drive",2,1,2018,"0.0985","0.4784","-0.1741","3.1996","null","null","null",1,7,"Bot","86.45","77.81",,,572287,,"180914_043322","5.5800","-126.6991","0.3665","-0.0625","24.5810","-27.5534","3.4155","1.6750","302","93.6","16.4310","85.4320","2254","5.1180",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3822","0.625","0.639","0.00",1,0,0,4,59,"4","Cutter",1,6,1,6,6,1,1,6,"Standard","Standard"
"CH","2018-09-13","85.2","-2.5898","5.1665","Mike Leake",592743,502190,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",1,1,2018,"-0.8481","-0.0907","0.8425","1.3421","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043258","9.5267","-123.6488","-2.4844","-10.2217","22.5257","-32.8672","3.3898","1.6491","null","null","null","83.9960","1723","5.4540",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.0454","null","null","null","null","null","null","null",59,"3","Changeup",1,6,1,6,6,1,1,6,"Standard","Standard"
"FC","2018-09-13","87.6","-2.5494","5.2576","Mike Leake",592743,502190,"null","foul",,,,,"3","null","R","R","R","LAA","SEA","S","null","null",1,0,2018,"0.0867","0.7201","0.5456","3.2368","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043238","7.1413","-127.3087","-0.2322","-0.3704","22.8903","-24.7899","3.4412","1.7525","null","null","null","86.1720","2301","5.1700",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3301","null","null","null","null","null","null","null",59,"2","Cutter",1,6,1,6,6,1,1,6,"Standard","Standard"
"SI","2018-09-13","88.0","-2.5863","5.0691","Mike Leake",592743,502190,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",0,0,2018,"-0.6032","0.3478","1.1693","2.2467","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043223","10.0891","-127.6930","-1.4432","-8.2664","23.4919","-28.4526","3.5438","1.7525","null","null","null","86.5640","2240","5.2940",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.2058","null","null","null","null","null","null","null",59,"1","Sinker",1,6,1,6,6,1,1,6,"Standard","Standard"
"SL","2018-09-13","81.4","-2.7986","5.2158","Mike Leake",457708,502190,"home_run","hit_into_play_score",,,,,"4","Justin Upton homers (27) on a fly ball to left field.  ","R","R","R","LAA","SEA","X","null","fly_ball",2,2,2018,"1.0135","-0.1203","-0.4059","2.8309","null","null","null",1,7,"Bot","34.30","59.13",,,572287,,"180914_043144","3.4364","-118.3083","1.3858","8.4544","21.3443","-33.7775","3.5438","1.7784","393","105.4","37.7120","79.4110","2478","4.8510",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.6488","0.615","1.201","2.00",1,0,3,6,58,"7","Slider",0,6,0,6,6,0,0,6,"Standard","Strategic"
"CH","2018-09-13","84.0","-2.6500","5.0790","Mike Leake",457708,502190,"null","foul",,,,,"13","null","R","R","R","LAA","SEA","S","null","null",2,2,2018,"-0.9923","-0.2662","-0.5558","1.0093","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043109","6.6281","-122.1133","-2.5641","-10.8363","20.5578","-34.5735","3.5438","1.7267","null","null","null","83.1270","1763","5.4420",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.0574","null","null","null","null","null","null","null",58,"6","Changeup",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FC","2018-09-13","87.6","-2.5740","5.2853","Mike Leake",457708,502190,"null","foul",,,,,"12","null","R","R","R","LAA","SEA","S","null","null",2,2,2018,"0.2212","0.3131","0.9125","2.9421","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043045","7.7996","-127.2286","-0.2051","0.9325","22.7309","-29.0864","3.5182","1.7784","167","76.4","19.2567","86.1040","2377","5.1500",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.3502","null","null","null","null","null","null","null",58,"5","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
